SegmentID,SegmentType,Symbol,StationID,Code,Arrival,Departure,Minutes
1863299,I,HPASLAU103,78,RAPIDS,10/5/17 5:37,10/5/17 5:40,3
1863300,I,HPASLAU103,14,REEPTM,10/5/17 4:49,10/5/17 4:51,2
1863303,I,HPASLAU103,18,BIGTIM,10/5/17 4:11,10/5/17 4:13,2
1863304,I,HPASLAU103,60,EDDY  ,10/4/17 9:25,10/4/17 9:28,3
1863305,I,HPASLAU103,52,BEARMT,10/4/17 15:33,10/4/17 15:36,3
1863307,I,HPASLAU103,84,TUSCOR,10/4/17 8:26,10/4/17 8:28,2
1863308,I,HPASLAU103,56,CLRKST,10/5/17 1:18,10/5/17 1:21,3
1863309,I,HPASLAU103,23,TOWNMT,10/5/17 0:21,10/5/17 0:27,6
1863310,I,HPASLAU103,53,BONNER,10/4/17 14:42,10/4/17 14:50,8
1863311,I,HPASLAU103,13,CRAVER,10/5/17 5:00,10/5/17 5:02,2
1863314,I,HPASLAU103,63,ELTON ,10/5/17 3:47,10/5/17 3:49,2
1863316,I,HPASLAU103,57,COLBY ,10/4/17 6:45,10/4/17 7:47,62
1863317,I,HPASLAU103,66,GREYCL,10/5/17 4:25,10/5/17 4:33,8
1863321,I,HPASLAU103,73,LOUISV,10/4/17 23:19,10/4/17 23:51,32
1863323,I,HPASLAU103,54,CARNEY,10/5/17 4:00,10/5/17 4:03,3
1863325,I,HPASLAU103,77,QUEBEC,10/5/17 4:41,10/5/17 4:44,3
1863327,I,HPASLAU103,26,NOXON ,10/4/17 8:15,10/4/17 8:17,2
1863334,I,CSXMRBG281,13,CRAVER,10/4/17 16:42,10/4/17 16:45,3
1863337,I,CSXMRBG281,15,BELGRA,10/4/17 22:04,10/4/17 22:06,2
1863349,I,CSXMRBG281,55,CLINTN,10/5/17 8:04,10/5/17 8:09,5
1863355,I,CSXMRBG281,65,FRENCH,10/5/17 15:06,10/5/17 15:08,2
1863356,I,CSXMRBG281,75,MUIR  ,10/4/17 21:10,10/4/17 21:18,8
1863359,I,CSXMRBG281,40,LOGAMT,10/4/17 22:25,10/4/17 22:28,3
1863362,I,CSXMRBG281,76,NIMROD,10/5/17 7:49,10/5/17 7:52,3
1863366,I,CSXMRBG281,78,RAPIDS,10/4/17 15:52,10/4/17 16:19,27
1863386,I,CSXMRBG281,16,BOZEMA,10/4/17 21:50,10/4/17 21:53,3
1863395,I,CSXMRBG281,14,REEPTM,10/4/17 16:54,10/4/17 17:03,9
1863399,I,CSXMRBG281,47,BLOSSB,10/5/17 5:33,10/5/17 5:39,6
1863413,I,CSXMRBG281,17,MANHMT,10/4/17 22:19,10/4/17 22:20,1
1863416,I,CSXMRBG281,18,BIGTIM,10/4/17 18:01,10/4/17 18:04,3
1863427,I,CSXMRBG281,72,LOMBRD,10/4/17 23:10,10/4/17 23:29,19
1863440,I,CSXMRBG281,48,ELLIST,10/5/17 5:53,10/5/17 5:59,6
1863441,I,CSXMRBG281,34,TOSTON,10/4/17 23:48,10/5/17 0:06,18
1863445,I,CSXMRBG281,56,CLRKST,10/4/17 22:55,10/4/17 22:59,4
